Schnatterer,75,Germany,FC Heidenheim 1846
Caicedo,72,Ecuador,Ecuador
Fernandez,75,Chile,Chile
Orozco,72,Venezuela,Puebla FC
Basham,72,England,Sheffield United
Valverde,76,Uruguay,Real Madrid
Droguett,72,Chile,CD Universidad de Concepcion
Aurier,80,Ivory Coast,Tottenham Hotspur
Mawson,74,England,Fulham
Larsen,74,Denmark,Borussia Dortmund
Vertonghen,87,Belgium,Tottenham Hotspur
Holer,72,Germany,SC Freiburg
Stocker,73,Switzerland,FC Basel 1893
Naismith,73,Scotland,Heart of Midlothian
Bergwijn,80,Netherlands,PSV
Walker,84,England,Manchester City
Imbula,75,France,Rayo Vallecano
Moreno,76,Colombia,Shanghai Greenland Shenhua FC
Paletta,77,Italy,Jiangsu Suning FC
Trimmel,72,Austria,FC Union Berlin
Buffarini,74,Argentina,Boca Juniors
Abeid,73,Algeria,Dijon FCO
Rongier,79,France,FC Nantes
Beerens,71,Netherlands,Vitesse
Maresic,72,Austria,SK Sturm Graz
Finnbogason,79,Iceland,FC Augsburg
Higuain,87,Argentina,Chelsea
Olunga,72,Kenya,Kashiwa Reysol
Rog,75,Croatia,Sevilla FC
Agbo,73,Nigeria,Rayo Vallecano
Demirel,74,Turkey,Fenerbahce SK
Izquierdo,76,Colombia,Brighton & Hove Albion
Gimenez,74,Argentina,Velez Sarsfield
Mavinga,72,DR Congo,Toronto FC
Caldirola,72,Italy,Benevento
Heuer Fernandes,73,Portugal,SV Darmstadt 98
Hawsawi,72,Saudi Arabia,Al Ahli
Espinosa,77,Colombia,Girona FC
Martinez,75,Paraguay,Club Atlas
Monetti,73,Argentina,San Lorenzo de Almagro
Henrichs,76,Germany,AS Monaco
Ibarguen,73,Colombia,Club America
Guerreiro,81,Portugal,Borussia Dortmund
Thauvin,84,France,Olympique de Marseille
Rice,74,Republic of Ireland,West Ham United
Barkley,79,England,Chelsea
Davies,75,England,Derby County
Sural,73,Czech Republic,Alanyaspor
Augustinsson,77,Sweden,SV Werder Bremen
Monnet-Paquet,73,France,AS Saint-etienne
Muller,86,Germany,FC Bayern Munchen
Cragno,78,Italy,Cagliari
Dionisi,73,Italy,Frosinone
Ibisevic,77,Bosnia Herzegovina,Hertha BSC
Rossi,72,Argentina,Club Atletico Huracan
Celik,74,Turkey,LOSC Lille
Diawara,76,Guinea,Napoli
Strootman,82,Netherlands,Olympique de Marseille
Al Faraj,73,Saudi Arabia,Al Hilal
Tashaev,73,Russia,Spartak Moscow
Vukovic,74,Serbia,Olympiacos CFP
Martinsson Ngouali,72,Gabon,Hammarby IF
Elias,71,Argentina,Godoy Cruz
Acosta,77,Argentina,DC United
Pacinda,72,Slovakia,Viktoria Plzen
Diekmeier,73,Germany,SV Sandhausen
Webster,73,England,Bristol City
Bradley,76,United States,Toronto FC
Karius,79,Germany,Besiktas JK
Aboubakar,80,Cameroon,Cameroon
Huntelaar,77,Netherlands,Ajax
Alli,85,England,Tottenham Hotspur
Svensson,74,Norway,AZ Alkmaar
Sydorchuk,77,Ukraine,Dynamo Kyiv
Milner,81,England,Liverpool
Quintero,76,Colombia,Minnesota United FC
Dos Santos,75,Mexico,LA Galaxy
Visca,83,Bosnia Herzegovina,Medipol Basaksehir FK
Martinez,79,Argentina,Atlanta United
Guilavogui,80,France,VfL Wolfsburg
Torreira,82,Uruguay,Arsenal
Brown,76,Scotland,Celtic
Ciofani,73,Italy,Frosinone
Vida,80,Croatia,Besiktas JK
Srarfi,72,Tunisia,OGC Nice
Brekalo,76,Croatia,VfL Wolfsburg
Depoitre,74,Belgium,Huddersfield Town
Rigoni,74,Italy,Chievo Verona
Ishak,74,Sweden,FC Nurnberg
Belozoglu,79,Turkey,Medipol Basaksehir FK
Chygrynskyi,76,Ukraine,AEK Athens
Babacar,75,Senegal,Sassuolo
Subasic,82,Croatia,AS Monaco
Tatarusanu,80,Romania,FC Nantes
Mena,74,Ecuador,Club Leon
Plata,74,Ecuador,Real Salt Lake
Zimmerman,72,United States,Los Angeles FC
Gonzalez,74,Argentina,Godoy Cruz
Bastien,72,Belgium,Standard de Liege
Birsa,80,Slovenia,Cagliari
Alderete,72,Paraguay,Club Atletico Huracan
El Ahmadi,77,Morocco,Al Ittihad
Dembele,84,France,FC Barcelona
Norwood,75,Northern Ireland,Sheffield United
Burdisso,74,Argentina,Independiente
Larin,74,Canada,Besiktas JK
Bertolo,72,Argentina,Club Atletico Banfield
Pratto,79,Argentina,River Plate
Rodriguez,73,Colombia,Minnesota United FC
Goretzka,83,Germany,FC Bayern Munchen
Tagliafico,80,Argentina,Ajax
Boye,72,Ghana,FC Metz
Gerndt,72,Sweden,FC Lugano
Ciano,74,Italy,Frosinone
Asare,73,Ghana,KAA Gent
Lennon,76,England,Burnley
Carson,73,England,Derby County
Smithies,73,England,Cardiff City
Chochev,74,Bulgaria,Palermo
Vlasic,75,Croatia,PFC CSKA Moscow
Trebel,78,France,RSC Anderlecht
Clucas,73,England,Stoke City
Nsame,72,Cameroon,BSC Young Boys
Chery,72,Netherlands,Kayserispor
Germain,76,France,Olympique de Marseille
Niederlechner,75,Germany,SC Freiburg
Onyekuru,76,Nigeria,Galatasaray SK
