Messi,94,Argentina,Paris Saint-Germain,180000
Ronaldo,94,Portugal,Manchester United,168000
Neymar Jr,92,Brazil,Paris Saint-Germain,220000
Hazard,91,Belgium,Real Madrid,147000
De Bruyne,91,Belgium,Manchester City,136500
Modric,91,Croatia,Real Madrid,189000
Suarez,91,Uruguay,Atletico Madrid,126000
Chiellini,90,Italy,Juventus,160000
Oblak,90,Slovenia,Atletico Madrid,130000
Kroos,90,Germany,Real Madrid,130000
Lewandowski,90,Poland,FC Bayern Munchen,180000
Kane,90,England,Tottenham Hotspur,110000
Godin,90,Uruguay,Atletico Madrid,110000
Kante,89,France,Chelsea,104500
Courtois,89,Belgium,Real Madrid,133000
Dybala,89,Argentina,Juventus,152000
Salah,89,Egypt,Liverpool,171000
Ter Stegen,89,Germany,FC Barcelona,114000
Cavani,89,Uruguay,Paris Saint-Germain,133000
Griezmann,89,France,Atletico Madrid,152000
Neuer,89,Germany,FC Bayern Munchen,180500
Aguero,89,Argentina,FC Barcelona,142500
Bale,88,Wales,Real Madrid,153000
Pogba,88,France,Manchester United,99000
Handanovic,88,Slovenia,Inter,171000
Van Dijk,88,Netherlands,Liverpool,153000
Buffon,88,Italy,Paris Saint-Germain,162000
Eriksen,88,Denmark,Tottenham Hotspur,171000
Lloris,88,France,Tottenham Hotspur,153000
Mbappe,88,France,Paris Saint-Germain,180000
Reus,88,Germany,Borussia Dortmund,153000
Koulibaly,88,Senegal,Napoli,99000
Hummels,88,Germany,FC Bayern Munchen,125999
Insigne,88,Italy,Napoli,99000
Aubameyang,88,Gabon,Arsenal,99000
Higuain,87,Argentina,Chelsea,127500
Icardi,87,Argentina,Inter,136000
Immobile,87,Italy,Lazio,153000
Alderweireld,87,Belgium,Tottenham Hotspur,153000
Sterling,87,England,Manchester City,93500
Navas,87,Costa Rica,Real Madrid,144500
Umtiti,87,France,FC Barcelona,136000
Rodriguez,87,Colombia,FC Bayern Munchen,110500
Rakitic,87,Croatia,FC Barcelona,93500
Mertens,87,Belgium,Napoli,110500
Vertonghen,87,Belgium,Tottenham Hotspur,144500
Muller,86,Germany,FC Bayern Munchen,120000
Benzema,86,France,Real Madrid,128000
Mane,86,Senegal,Liverpool,128000
Pjanic,86,Bosnia Herzegovina,Juventus,120000
Sane,86,Germany,Manchester City,104000
Verratti,86,Italy,Paris Saint-Germain,144000
Varane,86,France,Real Madrid,104000
Skriniar,86,Slovakia,Inter,144000
Kimmich,86,Germany,FC Bayern Munchen,112000
Szczesny,86,Poland,Juventus,152000
Bonucci,86,Italy,Juventus,160000
Lukaku,86,Belgium,Manchester United,104000
Perisic,85,Croatia,Inter,105000
Di Maria,85,Argentina,Paris Saint-Germain,142500
Lacazette,85,France,Arsenal,127500
Nainggolan,85,Belgium,Inter,112500
Dzeko,85,Bosnia Herzegovina,Roma,112500
Ibrahimovic,85,Sweden,LA Galaxy,142500
Son,85,Korea Republic,Tottenham Hotspur,135000
Brahimi,85,Algeria,FC Porto,127500
Mahrez,85,Algeria,Manchester City,127500
Witsel,85,Belgium,Borussia Dortmund,135000
Kompany,85,Belgium,Manchester City,112500
Alli,85,England,Tottenham Hotspur,82500
Matuidi,85,France,Juventus,97500
Manolas,85,Greece,Roma,112500
Boateng,85,Germany,FC Bayern Munchen,97500
Vidal,85,Chile,FC Barcelona,142500
Ozil,85,Germany,Arsenal,142500
Lopes,85,Portugal,Olympique Lyonnais,142500
Mandzukic,85,Croatia,Juventus,127500
Laporte,85,France,Manchester City,97500
Milinkovic-Savic,85,Serbia,Lazio,105000
Ziyech,84,Morocco,Ajax,98000
Sanchez,84,Colombia,Tottenham Hotspur,98000
Burki,84,Switzerland,Borussia Dortmund,77000
Gomez,84,Argentina,Atalanta,126000
Werner,84,Germany,RB Leipzig,140000
Sanchez,84,Chile,Manchester United,84000
Gundogan,84,Germany,Manchester City,140000
Dembele,84,France,FC Barcelona,119000
Ruffier,84,France,AS Saint-etienne,133000
Khedira,84,Germany,Juventus,77000
Banega,84,Argentina,Sevilla FC,91000
Robben,84,Netherlands,FC Bayern Munchen,84000
Cuadrado,84,Colombia,Juventus,84000
Martial,84,France,Manchester United,133000
